0 0 0 1024 0.054304 8.087056 7.006970 0.000005 0.000095 49.911564
0 0 1 1024 -0.091073 7.633667 2.124995 0.000002 0.000032 28.309638
4 0 0 1024 0.046903 7.663818 9.134277 0.000014 0.000274 87.982354
4 0 1 1024 -0.086459 8.770345 2.726730 0.000011 0.000192 29.506709
5 0 0 1024 0.047980 4.033020 8.087671 0.000017 0.000218 50.499310
5 0 1 1024 -0.077373 7.318115 2.557700 0.000005 0.000082 24.065775
6 0 0 1024 0.062184 9.521423 7.429031 0.000003 0.000035 38.676732
6 0 1 1024 -0.073973 9.523905 1.995981 0.000002 0.000029 26.113657
7 0 0 1024 0.056254 9.999064 7.497290 0.000003 0.000044 38.734072
7 0 1 1024 -0.079104 9.753560 2.103774 0.000004 0.000051 33.619688
8 1 0 1024 -0.006291 9.665955 1.987640 0.000002 0.000028 15.453922
8 1 1 1024 -0.117330 10.177124 1.600708 0.000001 0.000018 11.038096
9 0 0 1025 0.062143 8.118984 6.820550 0.000004 0.000055 40.521475
9 0 1 1023 -0.085365 8.509694 1.896965 0.000003 0.000091 21719098.365862
9 1 0 1024 0.000557 6.315043 1.998499 0.000010 0.000087 21.686142
9 1 1 1024 -0.113388 7.437968 1.836344 0.000002 0.000035 18.467548
10 1 0 1024 -0.009943 9.343363 1.995316 0.000002 0.000031 17.584078
10 1 1 1024 -0.124325 9.785502 1.689753 0.000002 0.000038 11.692163
11 1 1 1024 -0.118290 6.393616 2.064949 0.000007 0.000127 19.804200
12 1 0 1024 -0.014712 6.424642 2.678035 0.000011 0.000116 31.494265
12 1 1 1024 -0.109233 7.731120 2.279953 0.000007 0.000190 18.323990
15 0 0 1024 0.060565 6.858704 7.184426 0.000008 0.000088 44.052520
15 0 1 1024 -0.094258 6.385498 2.018832 0.000010 0.000091 29.446135
15 1 0 1024 -0.006425 3.219747 2.549749 0.000022 0.000239 26.656846
15 1 1 1024 -0.106455 6.234049 1.960842 0.000006 0.000076 13.899017
17 0 0 1024 0.066623 8.772827 6.714717 0.000003 0.000034 33.014899
