0.085242 0.017104 0.046493
0.093076 -0.000052 0.035027
0.086979 0.016748 0.020598
0.089932 0.029368 0.029518
0.080100 0.045401 0.034918
0.050949 0.052772 0.033339
0.024403 0.019970 0.059476
0.047578 0.033637 0.053722
0.047777 -0.034022 0.053513
0.057882 -0.000007 0.056592
0.027400 -0.051728 0.046844
0.051043 -0.052940 0.032966
0.080512 -0.045486 0.034783
0.090041 -0.029387 0.029598
0.086948 -0.016462 0.020596
0.085268 -0.017169 0.046332
-0.047738 0.033671 0.053643
-0.024283 0.020141 0.059533
-0.050979 0.052769 0.033118
-0.080175 0.045313 0.034850
-0.090020 0.029306 0.029481
-0.087090 0.016787 0.020453
-0.093113 0.000154 0.034906
-0.085269 0.017293 0.046345
-0.085128 -0.017079 0.046558
-0.086970 -0.016675 0.020667
-0.089911 -0.029458 0.029795
-0.080444 -0.045268 0.034661
-0.051102 -0.052996 0.033321
-0.027283 -0.051820 0.046794
-0.057974 -0.000051 0.056586
-0.047652 -0.033921 0.053604
